feature,mean_abs_shap,rank
vlan_dmz,3.3034995,1
dst_total_fwd_packets_sum,0.5039998,2
dst_fwd_pkt_len_mean_sum,0.25101575,3
dst_flow_duration_count,0.24078974,4
dst_fwd_iat_mean_sum,0.22313528,5
dst_attack_count,0.19096981,6
dst_fwd_iat_mean_mean,0.18261217,7
dst_pkt_len_std_sum,0.17322673,8
dst_ack_flag_cnt_sum,0.16120966,9
dst_flow_duration_sum,0.14787291,10
dst_flow_bytes_per_s_mean,0.13913326,11
src_flow_count,0.13158277,12
is_currently_attacked,0.11626168,13
dst_flow_bytes_per_s_sum,0.09467468,14
dst_flow_iat_mean_sum,0.09074879,15
dst_init_win_bytes_bwd_sum,0.08496511,16
dst_flow_packets_per_s_sum,0.08334426,17
dst_bwd_iat_mean_sum,0.059441652,18
dst_avg_pkt_size_mean,0.04412677,19
dst_avg_pkt_size_sum,0.041604828,20
devtype_server,0.03314111,21
dst_bwd_pkt_len_mean_mean,0.029667655,22
dst_total_fwd_packets_mean,0.02771406,23
degree,0.027101953,24
dst_syn_flag_cnt_mean,0.01915347,25
rolling_3w_total_attack_count,0.017232755,26
device_criticality,0.016658995,27
dst_ack_flag_cnt_mean,0.013262928,28
dst_fin_flag_cnt_mean,0.012188834,29
dst_flow_duration_mean,0.011904864,30
dst_init_win_bytes_fwd_sum,0.009744606,31
dst_bwd_pkt_len_mean_sum,0.007006131,32
dst_urg_flag_cnt_mean,0.005367581,33
dst_total_len_fwd_packets_mean,0.0049502016,34
dst_rst_flag_cnt_mean,0.004535696,35
total_flow_count,0.0038037507,36
dst_init_win_bytes_bwd_mean,0.0017122265,37
dst_fin_flag_cnt_sum,0.0010776822,38
dst_flow_bytes_per_s_count,0.0,39
dst_flow_packets_per_s_count,0.0,40
dst_pkt_len_std_mean,0.0,41
dst_bwd_pkt_len_mean_count,0.0,42
dst_fwd_pkt_len_mean_count,0.0,43
dst_total_len_fwd_packets_count,0.0,44
dst_total_len_bwd_packets_mean,0.0,45
dst_total_len_bwd_packets_sum,0.0,46
dst_total_len_bwd_packets_count,0.0,47
dst_fwd_pkt_len_mean_mean,0.0,48
dst_total_bwd_packets_count,0.0,49
dst_total_len_fwd_packets_sum,0.0,50
dst_total_bwd_packets_mean,0.0,51
dst_total_bwd_packets_sum,0.0,52
dst_flow_iat_mean_count,0.0,53
dst_flow_iat_mean_mean,0.0,54
dst_flow_packets_per_s_mean,0.0,55
dst_total_fwd_packets_count,0.0,56
dst_psh_flag_cnt_sum,0.0,57
dst_psh_flag_cnt_count,0.0,58
dst_rst_flag_cnt_count,0.0,59
dst_psh_flag_cnt_mean,0.0,60
dst_rst_flag_cnt_sum,0.0,61
dst_fin_flag_cnt_count,0.0,62
dst_syn_flag_cnt_sum,0.0,63
dst_syn_flag_cnt_count,0.0,64
dst_pkt_len_std_count,0.0,65
dst_fwd_iat_mean_count,0.0,66
dst_bwd_iat_mean_mean,0.0,67
dst_bwd_iat_mean_count,0.0,68
dst_pkt_len_mean_mean,0.0,69
dst_pkt_len_mean_sum,0.0,70
dst_pkt_len_mean_count,0.0,71
dst_urg_flag_cnt_sum,0.0,72
dst_active_mean_count,0.0,73
dst_active_mean_sum,0.0,74
dst_active_mean_mean,0.0,75
dst_init_win_bytes_bwd_count,0.0,76
dst_init_win_bytes_fwd_count,0.0,77
dst_flow_count,0.0,78
dst_idle_mean_mean,0.0,79
dst_idle_mean_sum,0.0,80
src_attack_count,0.0,81
dst_unique_sources,0.0,82
dst_idle_mean_count,0.0,83
src_unique_destinations,0.0,84
dst_init_win_bytes_fwd_mean,0.0,85
dst_avg_pkt_size_count,0.0,86
dst_urg_flag_cnt_count,0.0,87
dst_ack_flag_cnt_count,0.0,88
betweenness_centrality,0.0,89
out_degree,0.0,90
in_degree,0.0,91
total_attack_count,0.0,92
is_attack_destination,0.0,93
attack_edge_ratio,0.0,94
closeness_centrality,0.0,95
pagerank,0.0,96
traffic_node,0.0,97
weighted_degree,0.0,98
vlan_admin_vlan,0.0,99
device_vulnerability,0.0,100
vlan_core,0.0,101
vlan_external,0.0,102
neighbor_attack_count,0.0,103
is_attack_source,0.0,104
vlan_server_vlan,0.0,105
vlan_faculty_vlan,0.0,106
vlan_student_vlan,0.0,107
delta_dst_flow_count,0.0,108
delta_dst_attack_count,0.0,109
delta_total_attack_count,0.0,110
delta_src_flow_count,0.0,111
delta_total_flow_count,0.0,112
delta_src_unique_destinations,0.0,113
delta_dst_unique_sources,0.0,114
rolling_3w_total_flow_count,0.0,115
new_inbound_connections,0.0,116
devtype_firewall,0.0,117
devtype_router,0.0,118
devtype_unknown,0.0,119
devtype_workstation,0.0,120
