feature,importance
is_currently_attacked,0.3416
vlan_dmz,0.15847623
dst_flow_duration_count,0.13834786
dst_attack_count,0.110883094
device_criticality,0.045396253
devtype_server,0.045267027
degree,0.032431405
total_flow_count,0.012717736
dst_flow_duration_sum,0.012307334
dst_ack_flag_cnt_sum,0.009742425
dst_fin_flag_cnt_mean,0.00942442
dst_total_fwd_packets_sum,0.008501046
dst_fwd_iat_mean_sum,0.0078907935
dst_fwd_pkt_len_mean_sum,0.0060118777
dst_init_win_bytes_fwd_sum,0.0056552775
dst_avg_pkt_size_sum,0.0048929816
dst_flow_iat_mean_sum,0.0047025317
dst_ack_flag_cnt_mean,0.0041830633
dst_init_win_bytes_bwd_sum,0.0040718107
dst_pkt_len_std_sum,0.0039662034
dst_flow_packets_per_s_sum,0.0034722863
dst_fwd_iat_mean_mean,0.0030996422
src_flow_count,0.0027953289
dst_bwd_iat_mean_sum,0.0027881006
dst_flow_duration_mean,0.0025146564
dst_flow_bytes_per_s_mean,0.0024694798
dst_total_fwd_packets_mean,0.0024496494
rolling_3w_total_attack_count,0.0024153665
dst_avg_pkt_size_mean,0.0022699744
dst_flow_bytes_per_s_sum,0.0020856704
dst_rst_flag_cnt_mean,0.0019953763
delta_dst_flow_count,0.0012758854
dst_syn_flag_cnt_mean,0.00088569557
dst_idle_mean_mean,0.0008794993
dst_bwd_pkt_len_mean_mean,0.0008528567
dst_init_win_bytes_bwd_mean,0.00069861324
dst_total_len_fwd_packets_mean,0.00037543545
dst_fin_flag_cnt_sum,0.00014319622
dst_bwd_pkt_len_mean_sum,4.773475e-05
dst_urg_flag_cnt_mean,1.6202783e-05
dst_flow_bytes_per_s_count,0.0
dst_bwd_pkt_len_mean_count,0.0
dst_fwd_pkt_len_mean_count,0.0
dst_total_len_fwd_packets_count,0.0
dst_total_len_bwd_packets_mean,0.0
dst_total_len_bwd_packets_sum,0.0
dst_total_len_bwd_packets_count,0.0
dst_fwd_pkt_len_mean_mean,0.0
dst_total_bwd_packets_count,0.0
dst_total_len_fwd_packets_sum,0.0
dst_total_bwd_packets_mean,0.0
dst_total_bwd_packets_sum,0.0
dst_flow_iat_mean_count,0.0
dst_flow_iat_mean_mean,0.0
dst_flow_packets_per_s_mean,0.0
dst_total_fwd_packets_count,0.0
dst_psh_flag_cnt_sum,0.0
dst_psh_flag_cnt_count,0.0
dst_rst_flag_cnt_count,0.0
dst_psh_flag_cnt_mean,0.0
dst_rst_flag_cnt_sum,0.0
dst_fin_flag_cnt_count,0.0
dst_syn_flag_cnt_sum,0.0
dst_syn_flag_cnt_count,0.0
dst_pkt_len_std_count,0.0
dst_fwd_iat_mean_count,0.0
dst_bwd_iat_mean_mean,0.0
dst_bwd_iat_mean_count,0.0
dst_pkt_len_mean_mean,0.0
dst_pkt_len_mean_sum,0.0
dst_pkt_len_mean_count,0.0
dst_pkt_len_std_mean,0.0
dst_flow_packets_per_s_count,0.0
dst_active_mean_count,0.0
dst_active_mean_mean,0.0
dst_active_mean_sum,0.0
dst_init_win_bytes_fwd_count,0.0
dst_urg_flag_cnt_sum,0.0
dst_flow_count,0.0
dst_idle_mean_sum,0.0
src_attack_count,0.0
dst_unique_sources,0.0
dst_idle_mean_count,0.0
dst_init_win_bytes_bwd_count,0.0
dst_init_win_bytes_fwd_mean,0.0
dst_avg_pkt_size_count,0.0
dst_urg_flag_cnt_count,0.0
dst_ack_flag_cnt_count,0.0
betweenness_centrality,0.0
out_degree,0.0
in_degree,0.0
total_attack_count,0.0
src_unique_destinations,0.0
is_attack_destination,0.0
closeness_centrality,0.0
pagerank,0.0
traffic_node,0.0
weighted_degree,0.0
vlan_admin_vlan,0.0
device_vulnerability,0.0
vlan_core,0.0
attack_edge_ratio,0.0
neighbor_attack_count,0.0
is_attack_source,0.0
vlan_server_vlan,0.0
vlan_faculty_vlan,0.0
vlan_external,0.0
vlan_student_vlan,0.0
delta_dst_attack_count,0.0
delta_total_attack_count,0.0
delta_src_flow_count,0.0
delta_total_flow_count,0.0
delta_src_unique_destinations,0.0
delta_dst_unique_sources,0.0
rolling_3w_total_flow_count,0.0
new_inbound_connections,0.0
devtype_firewall,0.0
devtype_router,0.0
devtype_unknown,0.0
devtype_workstation,0.0
